Customer/Merchant ID,Product ID,Policy Type,Premium Amount,Policy Term,Claim Status
CUSLOMZ5G2Y59VF,PROD100366,Health,87068,21,No Claim
CUS0MVDU8ZTCJIR,PROD100368,General,37765,23,No Claim
CUSAJSYM14B5FOQ,PROD100381,Health,122192,21,No Claim
CUSNHX4O60204XM,PROD100385,General,29851,12,No Claim
CUSGLL4RHCXS1U9,PROD100386,Health,238247,5,No Claim
CUS08PGZTFP5TGN,PROD100390,General,222958,12,No Claim
CUSIZHD8KL6T6RX,PROD100391,General,86243,18,No Claim
CUS4K53PKTH1BER,PROD100414,Health,111026,14,No Claim
CUS8XK4BBT0B9F7,PROD100426,Life,85411,19,No Claim
646442945950,PROD100430,Health,189238,21,No Claim
CUSECFUJ4OGQSH9,PROD100434,Life,154103,8,No Claim
CUSN8HY48NCSR37,PROD100438,General,41090,22,No Claim
CUSN1N3VHPOJKO3,PROD100440,Health,231841,17,No Claim
CUS9JYMGKLCWSEV,PROD100447,Life,52117,17,No Claim
CUS3Q3QD5T5UK7L,PROD100451,General,222010,19,No Claim
CUSQV1S6RP4YWV4,PROD100471,General,122908,15,No Claim
CUS0N2RZ5LZWZ3E,PROD100472,General,168208,8,No Claim
CUSUAY57BTYFPYY,PROD100473,Life,142637,23,No Claim
CUS8EF7YHI4MU6Y,PROD100478,Life,222027,14,No Claim
CUSGJ4LU5NUJROU,PROD100483,General,29650,15,No Claim
CUSY3HXQ5ORSYCJ,PROD100484,General,244944,12,No Claim
975987570795,PROD100487,Life,163229,23,No Claim
CUSUI0G8RYFO5JT,PROD100491,General,37850,10,No Claim
CUSA421V3FSTNHN,PROD100497,General,231865,17,No Claim
CUSXUJ5OGQJT4NG,PROD100498,General,152476,8,No Claim
CUSO5YBRJNM2L44,PROD100509,General,130219,5,No Claim
CUSUM51TL35BDLH,PROD100510,Health,171007,14,No Claim
700653782558,PROD100514,Life,198949,23,No Claim
CUSWKQLOYTTLAIM,PROD100519,Health,138637,13,No Claim
CUS07HPNPK270TE,PROD100520,Life,164274,17,No Claim
CUSTK4N1K4CL0MT,PROD100522,General,96470,16,No Claim
CUSI14NW39ANDB8,PROD100530,General,55426,9,No Claim
895415671939,PROD100531,Health,28964,7,No Claim
CUS2KIQU8L5NVM8,PROD100532,Life,228622,6,No Claim
CUSCJM5B8VJBJ9G,PROD100533,General,167296,17,No Claim
CUSV7HWD0F11JYO,PROD100540,Health,188290,15,No Claim
CUSG7V2MUOU7MFY,PROD100544,General,212401,24,No Claim
CUS4RONA71WAL3Y,PROD100547,Health,112918,9,No Claim
CUS2ZLKNF4GOLKU,PROD100565,Life,117625,23,Claim Filed
CUSGROABEAWQW29,PROD100582,Life,183217,14,Claim Settled
CUSB6V6D1SGUBJV,PROD100585,Life,113279,8,Claim Filed
CUSH1NK5EQFPUMR,PROD100587,General,199568,23,No Claim
CUSSCSC7WD1BC6J,PROD100588,General,30939,17,No Claim
CUSBS5QICJKTZO8,PROD100592,General,64119,14,No Claim
CUS3TTZ5BSXK0EX,PROD100595,Life,75107,13,No Claim
CUSLEQ4XIVYF8MV,PROD100597,Life,137449,11,No Claim
CUSFDZEACA5B3GG,PROD100610,Health,204890,9,No Claim
CUSOVY92DEFQGSE,PROD100611,Health,210150,22,No Claim
CUSCT1NKS9FMCNR,PROD100612,General,30274,23,No Claim
CUSNM3W6KA2P138,PROD100614,Life,121998,15,No Claim
CUSLO7IH51MK2XI,PROD100619,General,178804,7,No Claim
CUS1ZQAONK5E7VS,PROD100625,Health,68192,22,No Claim
CUSFDMCGPD15PEJ,PROD100633,Health,158622,11,No Claim
CUSKFUS3S7TCVUC,PROD100641,General,116505,19,No Claim
389387695942,PROD100643,General,82224,18,No Claim
CUSUN5DGSIRI5DS,PROD100655,Life,248128,18,No Claim
CUS9JA2QI54HTW9,PROD100659,General,248810,11,No Claim
CUSZKLJ2A3H7SNO,PROD100660,Health,135277,24,No Claim
CUSCPFE0N01OYBZ,PROD100663,Health,99184,15,No Claim
CUSRZ0WPYFUVVPV,PROD100666,Health,202275,22,No Claim
CUSL30JUJKXADRN,PROD100673,General,93012,22,No Claim
CUS2UJJBKJR5408,PROD100676,Life,91497,24,No Claim
CUS4ZCGYO7SPI6E,PROD100682,General,152869,10,No Claim
CUSX8TOCIQ2GORX,PROD100688,Life,71413,24,No Claim
CUSK55GQ8RZZ4W8,PROD100694,Health,206097,6,No Claim
CUS35NABLI8751X,PROD100699,Life,176996,13,No Claim
CUSLO7IH51MK2XI,PROD100705,Health,49018,6,No Claim
CUSG5CRP92G088X,PROD100707,General,190820,25,No Claim
CUSTHKHDO3VZN69,PROD100708,General,221152,8,No Claim
CUSPDTLPNK1WC0K,PROD100709,General,62403,23,No Claim
CUSTGD1VEZPTLWH,PROD100710,Life,55455,20,No Claim
CUSCB51EZ3BIZ8U,PROD100719,Health,108292,24,Claim Settled
CUSDNPR9OMXD2NX,PROD100728,Life,74281,11,No Claim
CUSRWPOFHEHFAU7,PROD100732,Life,32437,18,No Claim
CUSJ1WSF8AZ9QYL,PROD100734,General,51116,11,No Claim
CUSJ3WHLEJCC6Q9,PROD100737,Life,47026,14,No Claim
CUSAP24OP87XK1S,PROD100747,Health,158222,5,Claim Settled
CUSBEHNW46Y8RNR,PROD100749,Life,58508,12,No Claim
CUS9440ZZU2JD6C,PROD100753,Health,189765,24,No Claim
CUSSXWGP46QHRQF,PROD100758,Health,60307,24,No Claim
CUSMW74GKW8F1HT,PROD100762,Health,103650,23,No Claim
CUSJ66B75CN4STK,PROD100775,Health,135505,6,No Claim
CUSSM8X1UMYMF82,PROD100776,Health,191641,5,No Claim
CUS7VUHROZ6M7NJ,PROD100790,Health,215670,20,No Claim
CUSA14350Q8OBW3,PROD100791,Life,81525,19,No Claim
CUSDUWAW20GJPQP,PROD100794,Life,110097,25,No Claim
CUSWZPYB2HOUJWQ,PROD100798,Life,200190,13,No Claim
CUSJ063YJWDXOH4,PROD100799,General,191687,23,No Claim
CUS6P5BGQCED8HU,PROD100801,General,70741,12,No Claim
100438260799,PROD100803,Health,63730,16,No Claim
CUS0TEG8DEFECCD,PROD100806,Life,190028,23,No Claim
CUSEBQ6WVUJWYWD,PROD100813,Health,116485,6,No Claim
CUS6FY0UFH6GSTC,PROD100822,Health,168390,12,No Claim
CUSDL9F37IJLUFN,PROD100823,Life,57791,24,No Claim
CUS7AGLYMURYD7P,PROD100824,Health,244476,23,Claim Filed
CUS6RCQPVI3B8CR,PROD100825,Life,107761,15,No Claim
CUS8KJC3HKG6B8F,PROD100827,Health,85326,12,No Claim
CUSBR9YVY0D6Y1V,PROD100832,Life,84267,14,No Claim
CUSS8VI3B4QY7QE,PROD100833,General,242833,12,No Claim
CUSO72WPG3O4G27,PROD100835,General,238872,22,No Claim
CUSIZXG6CTBLVNT,PROD100837,Life,100954,14,No Claim
674379247007,PROD100844,Life,45772,9,No Claim
CUS3ZP35HUDCMPS,PROD100846,Life,26904,18,No Claim
CUSWLGNO99Q6XOW,PROD100848,Life,138122,20,No Claim
CUSL48X9AL8JUW5,PROD100849,Life,202213,21,No Claim
CUSKPDK46KZM4BV,PROD100850,General,140571,15,No Claim
CUSK10IO1AR1ZGZ,PROD100859,General,26615,10,No Claim
CUS3JHYOX9ARZLI,PROD100861,Health,86783,9,No Claim
CUS5QVC7H56E43B,PROD100864,General,31428,13,No Claim
CUSJN1X4T8R3GQZ,PROD100870,General,206222,20,No Claim
CUSBHBJDMMCO5NI,PROD100890,Life,156302,13,Claim Filed
CUSCSQ59A0UXF3R,PROD100896,Life,216007,7,No Claim
CUSTFDK7FO25V38,PROD100907,Health,107317,6,No Claim
CUSF4NI9NQX8DPS,PROD100909,Health,95907,9,No Claim
CUSDPIQH8PH2TIR,PROD100912,Life,27586,14,No Claim
CUS0Z9DFFSGDBXH,PROD100914,Health,53091,14,No Claim
980856988742,PROD100919,Life,232926,10,No Claim
CUSMVGNGK756D22,PROD100923,Life,65170,24,No Claim
CUSSKWB0KMAPNCM,PROD100925,Health,181650,10,No Claim
CUSBC5550719569,PROD100928,Health,241441,7,Claim Filed
CUSM6K6R9QONPV7,PROD100931,Life,204122,7,No Claim
CUS0AAV3O3QKZV6,PROD100933,Life,203743,6,No Claim
CUSXY4GW7S743EX,PROD100936,Life,124324,6,No Claim
CUSPGV5DYY6PXGF,PROD100937,General,91115,6,No Claim
CUSJGNS70SZBY7A,PROD100938,Health,106715,22,No Claim
CUSW9R07HDYWA34,PROD100940,General,249741,9,No Claim
CUSC5UO8J7I3XPC,PROD100941,Life,156788,25,No Claim
CUSOPZW534BALWA,PROD100943,General,88259,17,No Claim
CUSCV3DCRPE4DP1,PROD100956,Life,171153,16,No Claim
CUSF90KUWQ2GPQ0,PROD100958,Health,217356,16,No Claim
CUSQJ3TSWXKJZ23,PROD100961,General,30897,8,No Claim
CUS0EK1A67VTANT,PROD100962,Life,90477,6,No Claim
CUSV74AY36DF272,PROD100967,General,94780,23,No Claim
CUSY35BYLL6B4G5,PROD100975,Life,144695,8,No Claim
CUS1M6CXN0KBIXH,PROD100977,General,27735,11,No Claim
CUS9PW2BQ8GJ3EF,PROD100989,Life,81908,18,No Claim
CUS7H7UY2SK3FVQ,PROD100990,Life,234312,25,No Claim
CUSXKLR8Q97BU29,PROD100993,Life,136586,19,No Claim
CUS2OXVZ2KIILCB,PROD100998,Life,206951,5,No Claim
CUSCROUX5MHB6QY,PROD101002,General,138312,6,No Claim
CUSJBFRKN7MJGD4,PROD101004,General,221843,23,No Claim
CUSL95QR2BWI4ED,PROD101006,General,87291,10,No Claim
CUSDMFMLOMW4V8Q,PROD101008,Life,171884,22,No Claim
CUSNC94OOOYI5BW,PROD101017,Life,235648,15,No Claim
CUSHQWH97DBU49B,PROD101020,Health,220509,6,No Claim
CUSX9YSCZ7MY3GB,PROD101031,Life,58059,12,No Claim
CUSGHJJLUMK3AIG,PROD101036,Life,151669,7,No Claim
CUSXCB7KI5444EW,PROD101038,Life,107605,11,No Claim
283226892819,PROD101039,Life,130169,13,No Claim
CUS7KYLLHGQE2IK,PROD101043,Health,215004,10,No Claim
CUSBC089DCLEF37,PROD101048,Life,36340,17,No Claim
CUSTVCC81CHNMER,PROD101057,General,150118,24,No Claim
CUSUIUQCDMSLO8U,PROD101060,Health,249459,12,No Claim
CUS6GBJVVQY18BB,PROD101061,Health,147026,11,No Claim
CUSYCNIDS13PMNC,PROD101063,General,71224,9,No Claim
CUSQZLC0BLAEI9C,PROD101072,General,34568,10,No Claim
993243446189,PROD101077,General,145762,7,No Claim
CUSB0V6UD0UV8M1,PROD101079,General,90315,20,No Claim
CUS10Q28MS8XL76,PROD101080,Life,73105,13,No Claim
CUSJICWMI6W2RN3,PROD101081,General,45691,24,Claim Filed
CUS1ADRGHSBMEK1,PROD101085,Life,107304,17,No Claim
CUSZFBURM4CGUUD,PROD101086,Life,174055,7,No Claim
CUS6H8XNEEU68ML,PROD101097,General,229598,20,No Claim
CUSV8HPTZ7N8JE4,PROD101106,General,190578,25,No Claim
CUST8ZEH3RPRGYG,PROD101110,Life,78403,18,No Claim
CUSPFBD1JFVYVAS,PROD101113,Health,56605,20,No Claim
CUSUP12CCTHU522,PROD101117,General,126224,8,No Claim
CUS2VG06YI9LBMV,PROD101143,Life,143293,16,No Claim
CUSMQVF4V48XYQ2,PROD101147,Life,94644,7,No Claim
CUSNVA750QCN6YP,PROD101153,Health,122124,11,Claim Settled
CUS5AFWVLWT3CJA,PROD101154,General,69285,15,No Claim
631805045454,PROD101157,Life,71660,5,Claim Settled
CUSKAR9OWSLK0PL,PROD101159,Life,60296,22,No Claim
CUSB9K6GE3EK3V7,PROD101161,Health,136649,18,No Claim
CUSLCNX8J9IZ8IA,PROD101172,Health,68084,20,No Claim
CUS7JNCK0Q7X6DV,PROD101174,Life,144526,11,No Claim
CUS3FN2DLQV2U6T,PROD101175,General,231175,8,No Claim
CUSXYHFV7XVNDSB,PROD101179,Health,62246,10,No Claim
CUSBGP41YQ5WGFV,PROD101194,Life,60146,25,No Claim
827936088260,PROD101195,Life,206983,8,No Claim
CUS4E6BTONWZRSR,PROD101199,Life,38976,20,No Claim
223166937379,PROD101200,Health,26582,19,No Claim
CUSNNRZ7DTJ63U9,PROD101207,General,46549,15,No Claim
CUS2QDPQF3IO61H,PROD101222,General,203138,10,No Claim
CUSTKIN1J1CF1YS,PROD101224,Health,80188,17,No Claim
376387334569,PROD101227,Life,175672,17,No Claim
CUSX536PH4ZV1BA,PROD101228,Life,25311,7,No Claim
428068213683,PROD101231,Life,37179,5,No Claim
CUSQ84GD5YSHGPZ,PROD101233,General,214074,7,No Claim
CUSEHAZJPQECHMQ,PROD101246,Health,122216,22,No Claim
CUSJ2EVCMEMV1FA,PROD101248,Health,187839,24,No Claim
CUSZPMSSE19439F,PROD101249,Health,91277,14,No Claim
413429893973,PROD101255,Health,81651,17,No Claim
CUSULNWKB23CJL5,PROD101257,General,48072,10,No Claim
233573532771,PROD101267,General,203462,20,No Claim
CUSXX4AYO9WBHXP,PROD101269,Health,144378,18,No Claim
CUSNLH2Y1JAN6C2,PROD101275,General,228281,20,No Claim
CUSBYTVU3K4OAWF,PROD101276,Health,63087,22,No Claim
CUS7M05H8ECVGER,PROD101280,Health,46053,17,No Claim
CUSYQKI4D913R85,PROD101284,Life,47790,9,No Claim
CUSAYVBFKOA9LDM,PROD101285,Health,46860,10,No Claim
CUS04MGEH3ILXJ0,PROD101294,General,129140,23,Claim Settled
CUS5H5BMJ2EYA1Q,PROD101295,Health,42179,24,No Claim
CUSC41KMY5ADVO2,PROD101297,Life,101966,23,No Claim
CUS99O6ALVGQXCZ,PROD101301,General,72297,10,No Claim
CUS6WY966PJOIOM,PROD101306,Life,155765,23,No Claim
CUSGKP1UT8USXMW,PROD101307,Health,48061,10,No Claim
CUSEJHEIVLR5R6S,PROD101313,Health,123405,10,No Claim
CUSLY0KI94JHLMF,PROD101327,General,39047,23,No Claim
CUSHJTDMBZDPAQP,PROD101331,Health,150865,15,No Claim
CUS85KS0AHD2XUC,PROD101333,General,193319,20,No Claim
CUSD9YAFHSKK583,PROD101338,Health,137774,9,No Claim
CUSDG680IUGA4FE,PROD101349,Life,241438,8,No Claim
CUSVSIJTRJOQOBT,PROD101354,General,47006,8,No Claim
CUSODEI4VXU4VQW,PROD101356,Health,245549,25,No Claim
CUSJ1U5VOCJGBRQ,PROD101364,Health,101763,23,No Claim
CUSFZ1D2FKVPHYS,PROD101372,Life,136322,23,No Claim
CUSGENJUOO9HX5B,PROD101373,General,230181,22,No Claim
CUSUVO0NZPJ9K5W,PROD101385,Health,232778,17,No Claim
CUS8DHQ8BRHFLND,PROD101386,Health,192669,18,No Claim
CUSXC67YQC0C6LL,PROD101389,Life,63809,12,No Claim
CUSKO4W0CECOC2D,PROD101394,Life,206911,22,No Claim
CUSN0V5D3EOHCP5,PROD101397,Health,206376,11,Claim Settled
CUS6KDB0NQYV1QM,PROD101403,Health,206080,10,No Claim
CUSAPTB9IX4HXXS,PROD101430,Health,95615,10,Claim Filed
CUSLV323XQPLUYG,PROD101432,Health,119620,17,No Claim
CUSI65FWBHDPK8U,PROD101434,Health,198353,10,No Claim
CUS9V7TZKR2TT1X,PROD101442,General,93224,10,No Claim
CUSIRXFJQA2QR5V,PROD101445,Life,74443,19,Claim Filed
CUSVIJFU59Z9WYP,PROD101446,Health,66903,6,No Claim
CUSHRCNBH6NQQB9,PROD101447,General,242915,18,No Claim
418999424119,PROD101449,Health,31260,22,No Claim
CUSNX3M4CLEN7CT,PROD101450,Health,172219,23,No Claim
CUSK8FMF8OZBUGR,PROD101452,Health,139237,21,No Claim
CUSXWS8J4D631WS,PROD101453,General,236751,12,No Claim
CUS2TJKGVHKAB08,PROD101458,General,47081,15,No Claim
CUSQBYWLKLQBXXA,PROD101466,Life,128085,11,No Claim
CUS5IIEI6J4UQ83,PROD101471,General,32833,18,No Claim
CUS1XG17O254YI3,PROD101477,General,170492,13,Claim Filed
CUSAXVHZWV2MKD0,PROD101482,General,155715,24,No Claim
CUSL35G4TY3UYAO,PROD101483,Life,44054,24,No Claim
CUSGSUFQCI394UF,PROD101489,General,28002,16,No Claim
CUS3ASUL02PJFKJ,PROD101491,Life,74767,24,No Claim
CUSINDXRJVPZVQL,PROD101494,Health,198185,25,No Claim
CUS7KC7D1ZWRJHH,PROD101515,Life,46815,23,No Claim
CUS3ZDNG0A6IS4O,PROD101517,General,152604,11,No Claim
CUSWLHMN2BOJP5D,PROD101528,Health,147620,23,No Claim
CUS10EBCN74MFNM,PROD101539,Health,43415,20,No Claim
CUSM7O5610JLPTM,PROD101540,Health,33645,10,No Claim
CUSOJXUG4QVGULG,PROD101544,Health,173312,10,No Claim
CUSLYPXYVW9Z4YD,PROD101547,General,157690,25,No Claim
CUSAG6TRIDEMXUO,PROD101552,General,153768,7,No Claim
CUSFNSW6HYKB00Y,PROD101555,Health,241801,6,No Claim
CUSWF3II5ZEJ2AH,PROD101560,General,230980,11,No Claim
CUS4WI3VA3OVTOJ,PROD101565,Life,144793,19,No Claim
CUS59W32BH00G7F,PROD101570,Life,54140,21,No Claim
CUSUB6LOAP70RUC,PROD101579,Health,133633,24,No Claim
CUS2SLQ3WTU21VL,PROD101584,General,234368,13,No Claim
CUSDHHH4MPM60Z2,PROD101586,Life,183247,13,No Claim
CUSYZJL9V1S65XC,PROD101594,General,218030,6,Claim Filed
CUSS4BGZS24DEPD,PROD101606,Life,103417,5,Claim Settled
CUSM3MW6G1Q204L,PROD101610,General,84444,16,No Claim
CUSG787L6K1CNTJ,PROD101612,Health,164803,25,No Claim
CUSR1EAT07STER7,PROD101617,General,43231,22,No Claim
652982375048,PROD101618,Health,175811,19,No Claim
CUSI39RLUC01G40,PROD101621,Health,80415,7,No Claim
CUSTSRPVLPQ3QMY,PROD101624,Health,100266,9,No Claim
639607881024,PROD101631,General,96403,12,No Claim
CUSJDYT654P8JCZ,PROD101632,Health,118355,9,No Claim
CUSRFBIURESYF40,PROD101655,General,198756,9,No Claim
CUSXCC2ZRF0IY0J,PROD101661,Life,90039,23,No Claim
CUSPFNROAFJBKJ1,PROD101663,Health,62196,11,No Claim
CUSZP9JTLBHCYGK,PROD101672,Health,212003,16,Claim Filed
CUSS7V5SMHCSFVC,PROD101674,Life,105575,19,No Claim
CUSFLJZRGAC9Z8V,PROD101677,Health,135506,23,No Claim
CUS8W5Q0IA6L8SO,PROD101678,Health,30024,22,No Claim
CUSPHDUDW21ZC7N,PROD101689,Health,54836,25,No Claim
CUSPACGYU25Q0FO,PROD101694,Life,223594,20,No Claim
CUSEXWT2XM161ET,PROD101695,General,56008,13,No Claim
CUS1Q74C3J3T36U,PROD101701,General,40787,10,No Claim
CUSXB5Y4346RMN9,PROD101705,General,239135,15,Claim Filed
CUSZM5FFVC0E41Y,PROD101707,Life,32745,9,No Claim
944037328895,PROD101709,Life,148674,12,No Claim
CUSIQWB7YGHB9NH,PROD101712,Health,62742,18,No Claim
CUSP06YY3QT74WH,PROD101717,Life,85621,19,No Claim
CUSSU8DW419K9Q7,PROD101718,Life,215138,13,No Claim
CUS6VW5BVEMK9PI,PROD101724,Life,148347,16,No Claim
CUS7GB550JPA3EL,PROD101725,General,43305,21,No Claim
CUSC0HHGIQFGMFL,PROD101726,Health,159683,22,No Claim
CUS8YNVAMKFXMMJ,PROD101737,Life,155182,18,No Claim
CUS87P58HNHESFK,PROD101740,General,90765,18,No Claim
135637787627,PROD101742,Health,105727,20,No Claim
CUS085DXSO111MX,PROD101752,Life,244909,5,No Claim
CUSWDGXL522RUDS,PROD101753,Life,218794,8,No Claim
CUS33V6P3KCL34Z,PROD101755,Life,33144,16,No Claim
CUS67EX4IAFKBD0,PROD101759,General,70269,20,Claim Settled
CUS70FL17TJ3RGQ,PROD101761,Life,98846,12,Claim Filed
CUSL2N6WPNB4IXM,PROD101768,General,63922,22,No Claim
CUSLXGWS5AZ8YJ9,PROD101769,General,86044,13,No Claim
CUS58K2L18KB9OM,PROD101771,Life,45182,9,No Claim
CUSYIVU3O4A5XHV,PROD101773,Life,172759,19,No Claim
CUSR26BXIZ7EB7W,PROD101774,General,166473,25,No Claim
CUSJKGSNC0PKBBM,PROD101775,Health,93066,14,No Claim
CUS1EEXQ4UR7BOV,PROD101777,Health,117160,9,No Claim
CUS4WVJ1AFOWKQQ,PROD101788,General,172070,11,No Claim
CUS9B7OZPAMR3RZ,PROD101801,Life,239824,19,No Claim
CUS3XGF73N9F8XG,PROD101804,Life,44416,14,No Claim
CUSWAEG8UMG42E0,PROD101807,General,219192,22,No Claim
CUS6FZPZN8VZYWI,PROD101810,General,85680,7,No Claim
CUSWWWDMOT2VSCU,PROD101811,Life,67654,9,No Claim
CUSP2XLWS5O8CKK,PROD101816,Health,130262,21,Claim Filed
CUSEJ4XQQDU06UF,PROD101818,Health,100177,19,No Claim
CUSF05YJO4H6ALD,PROD101824,Health,87705,5,No Claim
CUSG5M9J7677JTL,PROD101835,Health,122486,22,No Claim
CUS73STOO0O1DS6,PROD101840,General,67091,12,No Claim
CUSDD4V30T9NT3W,PROD101849,Health,202530,9,No Claim
CUSQG47N95LOT58,PROD101859,General,152133,19,No Claim
CUSYCH0AF3LFL4A,PROD101860,General,229697,9,No Claim
CUS9PD0EWQ5UMIX,PROD101869,General,36089,14,No Claim
549208623081,PROD101870,General,201589,19,No Claim
721790341838,PROD101876,Health,134547,12,No Claim
CUSVDZLK1YO05H4,PROD101878,Life,119832,7,No Claim
CUS67GVIL6K8OED,PROD101881,Life,156119,23,Claim Filed
CUSD2RVJNIFDNKE,PROD101882,General,186950,7,No Claim
CUS9Y1MKWCOMO8M,PROD101886,Health,157959,9,No Claim
CUS5Q20OGNZJLCE,PROD101900,Health,170567,12,No Claim
CUS5KFQR5ES8ZUU,PROD101908,Health,146552,12,No Claim
750070754812,PROD101910,General,129146,22,No Claim
CUSMQL9HDXTBQFA,PROD101911,Life,225805,20,No Claim
CUSNAY5W5CNIYZD,PROD101922,Life,248793,8,No Claim
940318125293,PROD101927,General,211290,15,No Claim
CUS0COBW2TURSBA,PROD101928,General,242832,21,No Claim
CUSPJXPNLXO3TU4,PROD101933,General,90585,7,No Claim
CUS4ZWAXJDR3WBC,PROD101939,Life,94690,19,No Claim
659015402882,PROD101940,Life,244638,9,Claim Settled
CUSQAUR58X9QYXW,PROD101953,Life,216596,24,No Claim
CUSCDAC4K8AGBPT,PROD101963,General,195137,10,No Claim
502402949252,PROD101966,General,213983,11,No Claim
CUSBR3KTOFZR896,PROD101979,Life,111880,19,No Claim
CUSUYVRHPT1XSY8,PROD101980,General,92741,8,No Claim
CUS6FW6OMXHPBU6,PROD101986,General,65710,11,Claim Filed
CUSAYE6MJF346ZZ,PROD101987,General,116468,19,No Claim
