Customer/Merchant ID,Lead Source,Lead Status,Follow-up Date,Remarks
YESB24177444,Referral,Lost,2024-02-03 00:00:00,KYC Pending
YESB40861718,Digital Campaign,Converted,2024-12-27 00:00:00,Called for FD
YESB82293103,Digital Campaign,Lost,2024-05-18 00:00:00,Interested in HL
YESB70806728,Walk-in,In Progress,2024-07-29 00:00:00,Called for FD
YESB53174709,Walk-in,Converted,2024-09-19 00:00:00,KYC Pending
YESB61919949,Referral,In Progress,2024-02-13 00:00:00,Wait for salary credit
YESB30731719,Digital Campaign,Lost,2024-09-01 00:00:00,KYC Pending
YESB95456646,Digital Campaign,Lost,2024-10-10 00:00:00,KYC Pending
YESB24148833,Digital Campaign,In Progress,2024-10-11 00:00:00,Called for FD
YESB95298689,Referral,Lost,2024-06-21 00:00:00,Interested in HL
YESB93353801,Digital Campaign,Converted,2024-03-13 00:00:00,Wait for salary credit
YESB29244356,Referral,Lost,2024-01-10 00:00:00,Called for FD
YESB24743515,Walk-in,In Progress,2024-09-05 00:00:00,Wait for salary credit
YESB26285454,Referral,Converted,2024-12-22 00:00:00,Wait for salary credit
YESB82139076,Referral,Lost,2024-01-19 00:00:00,Interested in HL
YESB91197149,Walk-in,Lost,2024-12-13 00:00:00,Wait for salary credit
YESB73626774,Digital Campaign,In Progress,2024-06-05 00:00:00,Called for FD
YESB74675689,Digital Campaign,In Progress,2024-06-17 00:00:00,Interested in HL
YESB93657534,Digital Campaign,Converted,2024-03-14 00:00:00,Called for FD
YESB88704782,Digital Campaign,Lost,2024-03-08 00:00:00,Interested in HL
YESB86714252,Walk-in,In Progress,2024-01-10 00:00:00,Wait for salary credit
YESB18136601,Referral,In Progress,2024-05-14 00:00:00,KYC Pending
YESB75756026,Referral,In Progress,2024-01-15 00:00:00,Wait for salary credit
YESB11191512,Referral,In Progress,2024-05-27 00:00:00,Called for FD
YESB69291463,Digital Campaign,In Progress,2024-08-14 00:00:00,Wait for salary credit
YESB59398962,Referral,Converted,2024-12-07 00:00:00,Wait for salary credit
YESB91203992,Referral,In Progress,2024-11-23 00:00:00,Interested in HL
YESB82446035,Referral,In Progress,2024-07-31 00:00:00,Wait for salary credit
YESB65659370,Digital Campaign,Converted,2024-09-20 00:00:00,Interested in HL
YESB35081135,Digital Campaign,Lost,2024-01-21 00:00:00,Called for FD
YESB15719458,Referral,In Progress,2024-07-06 00:00:00,Wait for salary credit
YESB31888146,Walk-in,Lost,2024-04-24 00:00:00,Wait for salary credit
YESB23401071,Referral,Lost,2024-08-12 00:00:00,Interested in HL
YESB14443603,Walk-in,Lost,2024-10-30 00:00:00,KYC Pending
YESB67204656,Walk-in,In Progress,2024-02-10 00:00:00,Interested in HL
YESB48305443,Walk-in,Lost,2024-12-14 00:00:00,Interested in HL
YESB78203579,Walk-in,Converted,2024-09-27 00:00:00,Interested in HL
YESB47641420,Walk-in,Converted,2024-10-09 00:00:00,Wait for salary credit
YESB24675629,Digital Campaign,In Progress,2024-03-01 00:00:00,Wait for salary credit
YESB95404830,Digital Campaign,In Progress,2024-06-15 00:00:00,Interested in HL
YESB80957665,Walk-in,Lost,2024-11-28 00:00:00,Wait for salary credit
YESB44736423,Referral,Lost,2024-10-10 00:00:00,KYC Pending
YESB13431024,Referral,In Progress,2024-12-04 00:00:00,Wait for salary credit
YESB28046155,Referral,Lost,2024-10-24 00:00:00,Interested in HL
YESB58081579,Walk-in,In Progress,2024-07-15 00:00:00,Interested in HL
YESB55212259,Digital Campaign,Converted,2024-05-27 00:00:00,Interested in HL
YESB89995800,Referral,Converted,2024-08-23 00:00:00,Called for FD
YESB13098909,Referral,In Progress,2024-01-25 00:00:00,Wait for salary credit
YESB83852592,Referral,In Progress,2024-03-08 00:00:00,Called for FD
YESB97061857,Digital Campaign,Converted,2024-10-19 00:00:00,Wait for salary credit
YESB84684732,Digital Campaign,Converted,2024-07-06 00:00:00,KYC Pending
YESB31712726,Referral,In Progress,2024-06-25 00:00:00,Wait for salary credit
YESB25323306,Digital Campaign,Converted,2024-10-09 00:00:00,Interested in HL
YESB67374703,Walk-in,In Progress,2024-01-28 00:00:00,Called for FD
YESB66985840,Digital Campaign,In Progress,2024-05-04 00:00:00,KYC Pending
YESB65437997,Digital Campaign,In Progress,2024-07-02 00:00:00,Called for FD
YESB45800942,Walk-in,Lost,2024-05-28 00:00:00,Called for FD
YESB21763787,Walk-in,In Progress,2024-06-24 00:00:00,Interested in HL
YESB53668067,Digital Campaign,Converted,2024-11-19 00:00:00,Wait for salary credit
YESB52186215,Referral,Converted,2024-05-24 00:00:00,Interested in HL
YESB41029559,Digital Campaign,Lost,2024-12-02 00:00:00,Interested in HL
YESB92489536,Digital Campaign,Lost,2024-05-16 00:00:00,Called for FD
YESB25531032,Referral,Converted,2024-04-11 00:00:00,KYC Pending
YESB67782130,Walk-in,Converted,2024-09-05 00:00:00,Interested in HL
YESB11440315,Walk-in,In Progress,2024-09-22 00:00:00,Wait for salary credit
YESB78315058,Digital Campaign,Lost,2024-06-15 00:00:00,Interested in HL
YESB32199885,Digital Campaign,Lost,2024-12-19 00:00:00,Interested in HL
YESB48489520,Digital Campaign,Lost,2024-10-14 00:00:00,Wait for salary credit
YESB87341901,Digital Campaign,Lost,2024-05-31 00:00:00,KYC Pending
YESB62607099,Referral,Converted,2024-04-26 00:00:00,Called for FD
YESB10309220,Digital Campaign,Lost,2024-02-26 00:00:00,KYC Pending
YESB60380772,Walk-in,In Progress,2024-04-15 00:00:00,Wait for salary credit
YESB85498550,Referral,Lost,2024-11-27 00:00:00,Wait for salary credit
YESB49610738,Referral,Converted,2024-11-27 00:00:00,Called for FD
YESB85310303,Digital Campaign,Converted,2024-09-28 00:00:00,Wait for salary credit
YESB73116504,Walk-in,In Progress,2024-07-18 00:00:00,Called for FD
YESB29268054,Referral,Lost,2024-08-17 00:00:00,KYC Pending
YESB10165220,Digital Campaign,Lost,2024-06-03 00:00:00,KYC Pending
YESB58298413,Digital Campaign,Lost,2024-09-18 00:00:00,Called for FD
YESB54842995,Referral,In Progress,2024-04-20 00:00:00,Interested in HL
YESB80708907,Digital Campaign,Lost,2024-11-05 00:00:00,Called for FD
YESB81171481,Referral,Converted,2024-07-25 00:00:00,Called for FD
YESB70805718,Digital Campaign,Converted,2024-02-10 00:00:00,Wait for salary credit
YESB11689764,Referral,Converted,2024-04-21 00:00:00,KYC Pending
YESB97052961,Referral,Lost,2024-08-24 00:00:00,Interested in HL
YESB65258305,Referral,Lost,2024-11-18 00:00:00,Interested in HL
YESB79933359,Walk-in,Converted,2024-08-10 00:00:00,Wait for salary credit
YESB84390155,Walk-in,In Progress,2024-09-07 00:00:00,KYC Pending
YESB31410538,Walk-in,Converted,2024-01-28 00:00:00,KYC Pending
YESB64435317,Referral,Converted,2024-07-20 00:00:00,Wait for salary credit
YESB30527051,Referral,Converted,2024-08-19 00:00:00,KYC Pending
YESB61521076,Digital Campaign,Lost,2024-02-14 00:00:00,Wait for salary credit
YESB94940398,Referral,In Progress,2024-12-07 00:00:00,Called for FD
YESB16010301,Digital Campaign,In Progress,2024-12-22 00:00:00,KYC Pending
YESB96141670,Digital Campaign,Converted,2024-07-18 00:00:00,Wait for salary credit
YESB19704054,Referral,Lost,2024-05-12 00:00:00,KYC Pending
YESB36101197,Walk-in,Lost,2024-08-30 00:00:00,KYC Pending
YESB89830416,Digital Campaign,Converted,2024-12-27 00:00:00,Interested in HL
YESB49208526,Walk-in,Converted,2024-08-04 00:00:00,KYC Pending
YESB37179235,Referral,Converted,2024-05-17 00:00:00,KYC Pending
YESB33412656,Digital Campaign,Lost,2024-08-14 00:00:00,Interested in HL
YESB49212749,Walk-in,Lost,2024-11-21 00:00:00,Interested in HL
YESB95456646,Digital Campaign,In Progress,2024-08-03 00:00:00,Called for FD
YESB12947028,Walk-in,In Progress,2024-02-03 00:00:00,Wait for salary credit
YESB84516831,Digital Campaign,Lost,2024-05-28 00:00:00,KYC Pending
YESB53002049,Referral,Converted,2024-09-26 00:00:00,KYC Pending
YESB23073685,Referral,Converted,2024-09-01 00:00:00,KYC Pending
YESB60339333,Walk-in,Converted,2024-06-25 00:00:00,Wait for salary credit
YESB10998684,Digital Campaign,In Progress,2024-08-14 00:00:00,KYC Pending
YESB16728972,Referral,In Progress,2024-05-19 00:00:00,KYC Pending
YESB22637777,Walk-in,In Progress,2024-04-04 00:00:00,Interested in HL
YESB45020758,Referral,Lost,2024-10-25 00:00:00,Called for FD
YESB77450315,Digital Campaign,Converted,2024-08-28 00:00:00,Wait for salary credit
YESB20065663,Digital Campaign,Converted,2024-11-11 00:00:00,Interested in HL
YESB22822822,Digital Campaign,Converted,2024-12-09 00:00:00,Called for FD
YESB73706670,Digital Campaign,Converted,2024-01-07 00:00:00,Called for FD
YESB34367356,Digital Campaign,Converted,2024-03-27 00:00:00,Called for FD
YESB61283438,Referral,Converted,2024-04-13 00:00:00,Wait for salary credit
YESB26863530,Digital Campaign,Lost,2024-06-14 00:00:00,KYC Pending
YESB66349108,Referral,In Progress,2024-02-04 00:00:00,Wait for salary credit
YESB36306934,Referral,In Progress,2024-04-24 00:00:00,Wait for salary credit
YESB10037025,Referral,In Progress,2024-12-22 00:00:00,Called for FD
YESB58079358,Referral,In Progress,2024-04-26 00:00:00,KYC Pending
YESB40841226,Walk-in,Converted,2024-08-16 00:00:00,KYC Pending
YESB60688713,Referral,In Progress,2024-11-13 00:00:00,Wait for salary credit
YESB63264506,Walk-in,Converted,2024-02-12 00:00:00,Interested in HL
YESB17931222,Digital Campaign,Converted,2024-01-30 00:00:00,KYC Pending
YESB96842245,Referral,Lost,2024-11-18 00:00:00,Wait for salary credit
YESB66399081,Walk-in,Lost,2024-07-03 00:00:00,KYC Pending
YESB16747532,Walk-in,Converted,2024-05-10 00:00:00,Wait for salary credit
YESB32653907,Referral,Lost,2024-10-21 00:00:00,Interested in HL
YESB11042520,Walk-in,Lost,2024-04-04 00:00:00,Called for FD
YESB99139866,Walk-in,In Progress,2024-02-13 00:00:00,Wait for salary credit
YESB15061021,Digital Campaign,Converted,2024-09-10 00:00:00,Wait for salary credit
YESB21735854,Walk-in,In Progress,2024-05-09 00:00:00,Wait for salary credit
YESB58633293,Walk-in,In Progress,2024-12-18 00:00:00,Called for FD
YESB28647476,Referral,In Progress,2024-06-08 00:00:00,Interested in HL
YESB40223259,Digital Campaign,In Progress,2024-06-27 00:00:00,Called for FD
YESB97378520,Referral,Lost,2024-04-27 00:00:00,Wait for salary credit
YESB46783065,Referral,Converted,2024-05-21 00:00:00,Wait for salary credit
YESB22124098,Digital Campaign,Converted,2024-01-26 00:00:00,Wait for salary credit
YESB22901871,Walk-in,In Progress,2024-07-18 00:00:00,KYC Pending
YESB66573984,Walk-in,In Progress,2024-03-21 00:00:00,KYC Pending
YESB67910993,Digital Campaign,Lost,2024-11-11 00:00:00,Interested in HL
YESB83557208,Digital Campaign,Converted,2024-01-21 00:00:00,Wait for salary credit
YESB22981219,Walk-in,Lost,2024-12-30 00:00:00,KYC Pending
YESB57228791,Referral,Lost,2024-01-15 00:00:00,Interested in HL
YESB61502972,Digital Campaign,Lost,2024-10-16 00:00:00,Called for FD
YESB19745764,Referral,Lost,2024-10-29 00:00:00,Interested in HL
YESB10049737,Digital Campaign,In Progress,2024-08-30 00:00:00,Interested in HL
YESB51952573,Referral,Converted,2024-11-25 00:00:00,Called for FD
YESB79214545,Referral,Converted,2024-10-09 00:00:00,Interested in HL
YESB21966413,Referral,In Progress,2024-10-28 00:00:00,Called for FD
YESB44214993,Digital Campaign,In Progress,2024-04-02 00:00:00,KYC Pending
YESB93272664,Walk-in,Converted,2024-02-06 00:00:00,Called for FD
YESB25991973,Digital Campaign,In Progress,2024-06-22 00:00:00,KYC Pending
YESB11047572,Referral,Converted,2024-10-06 00:00:00,Wait for salary credit
YESB93708946,Walk-in,Converted,2024-02-05 00:00:00,Wait for salary credit
YESB52247808,Referral,Converted,2024-01-30 00:00:00,Interested in HL
YESB96515588,Walk-in,In Progress,2024-05-01 00:00:00,Interested in HL
YESB92350329,Digital Campaign,Converted,2024-04-06 00:00:00,KYC Pending
YESB47177627,Walk-in,Converted,2024-07-11 00:00:00,Called for FD
YESB20423825,Digital Campaign,Lost,2024-03-10 00:00:00,Interested in HL
YESB29371622,Referral,Converted,2024-10-31 00:00:00,KYC Pending
YESB36152606,Digital Campaign,Lost,2024-07-11 00:00:00,KYC Pending
YESB38756300,Digital Campaign,Lost,2024-06-24 00:00:00,Interested in HL
YESB49579838,Walk-in,Lost,2024-05-17 00:00:00,Interested in HL
YESB74660979,Walk-in,In Progress,2024-05-30 00:00:00,Wait for salary credit
YESB34040656,Referral,Lost,2024-07-02 00:00:00,Called for FD
YESB59749097,Referral,In Progress,2024-06-19 00:00:00,Wait for salary credit
YESB59589597,Referral,Lost,2024-10-06 00:00:00,Called for FD
YESB24299110,Digital Campaign,Lost,2024-10-18 00:00:00,Called for FD
YESB76896068,Referral,Lost,2024-06-21 00:00:00,KYC Pending
YESB14064596,Walk-in,In Progress,2024-06-15 00:00:00,Wait for salary credit
YESB92492363,Digital Campaign,Converted,2024-10-03 00:00:00,Interested in HL
YESB23388241,Referral,In Progress,2024-06-02 00:00:00,Called for FD
YESB99797570,Digital Campaign,In Progress,2024-01-16 00:00:00,Called for FD
YESB83962607,Referral,Lost,2024-11-03 00:00:00,KYC Pending
YESB86176738,Referral,Converted,2024-09-26 00:00:00,KYC Pending
YESB45905981,Referral,Converted,2024-04-01 00:00:00,Called for FD
YESB66117332,Walk-in,Converted,2024-10-18 00:00:00,KYC Pending
YESB33213723,Referral,Lost,2024-08-18 00:00:00,Wait for salary credit
YESB92105425,Digital Campaign,In Progress,2024-04-10 00:00:00,Called for FD
YESB83438623,Digital Campaign,Lost,2024-12-13 00:00:00,KYC Pending
YESB26492177,Referral,In Progress,2024-05-18 00:00:00,Called for FD
YESB69738337,Walk-in,In Progress,2024-10-29 00:00:00,KYC Pending
YESB63576726,Walk-in,Lost,2024-05-23 00:00:00,Wait for salary credit
YESB91005429,Digital Campaign,In Progress,2024-06-21 00:00:00,Called for FD
YESB61837700,Walk-in,Converted,2024-07-22 00:00:00,Wait for salary credit
YESB55761836,Walk-in,In Progress,2024-01-18 00:00:00,KYC Pending
YESB65615751,Digital Campaign,Lost,2024-03-03 00:00:00,Interested in HL
YESB29746632,Referral,In Progress,2024-12-19 00:00:00,Interested in HL
YESB35395301,Walk-in,Converted,2024-12-01 00:00:00,Wait for salary credit
YESB58020900,Walk-in,Converted,2024-07-23 00:00:00,Interested in HL
YESB60573225,Referral,In Progress,2024-04-30 00:00:00,Interested in HL
YESB35651608,Digital Campaign,Lost,2024-05-18 00:00:00,Called for FD
YESB95469925,Digital Campaign,Converted,2024-12-09 00:00:00,Called for FD
YESB92134350,Referral,In Progress,2024-08-18 00:00:00,Called for FD
YESB95308486,Digital Campaign,In Progress,2024-07-09 00:00:00,KYC Pending
YESB13029279,Walk-in,Lost,2024-11-06 00:00:00,Interested in HL
YESB13265594,Referral,Converted,2024-03-17 00:00:00,Wait for salary credit
YESB88132894,Referral,In Progress,2024-03-19 00:00:00,Wait for salary credit
YESB91417186,Digital Campaign,Converted,2024-02-28 00:00:00,Interested in HL
YESB12984816,Digital Campaign,Converted,2024-05-29 00:00:00,Interested in HL
YESB32752407,Referral,Lost,2024-11-26 00:00:00,KYC Pending
YESB59058863,Digital Campaign,In Progress,2024-12-09 00:00:00,Called for FD
YESB63301882,Walk-in,Converted,2024-08-28 00:00:00,Interested in HL
YESB60512268,Digital Campaign,In Progress,2024-10-11 00:00:00,Interested in HL
YESB12260616,Digital Campaign,In Progress,2024-10-05 00:00:00,Wait for salary credit
YESB72301114,Digital Campaign,Converted,2024-07-27 00:00:00,KYC Pending
YESB60328807,Digital Campaign,In Progress,2024-03-04 00:00:00,Interested in HL
YESB23884331,Referral,In Progress,2024-04-10 00:00:00,Wait for salary credit
YESB33246891,Walk-in,Converted,2024-11-07 00:00:00,KYC Pending
YESB85346643,Referral,Lost,2024-05-29 00:00:00,Wait for salary credit
YESB12926577,Digital Campaign,Lost,2024-07-29 00:00:00,KYC Pending
YESB26483594,Walk-in,Converted,2024-11-22 00:00:00,Wait for salary credit
YESB80498569,Walk-in,Lost,2024-07-09 00:00:00,Called for FD
YESB78345912,Walk-in,Lost,2024-09-21 00:00:00,Called for FD
YESB42865108,Walk-in,Lost,2024-07-30 00:00:00,Wait for salary credit
YESB15643610,Walk-in,Lost,2024-04-09 00:00:00,Interested in HL
YESB83849605,Digital Campaign,Lost,2024-02-05 00:00:00,Wait for salary credit
YESB39840035,Digital Campaign,Converted,2024-01-20 00:00:00,Interested in HL
YESB21356562,Digital Campaign,In Progress,2024-01-11 00:00:00,Called for FD
YESB97606595,Referral,In Progress,2024-05-11 00:00:00,Wait for salary credit
YESB84142356,Walk-in,Lost,2024-12-21 00:00:00,Called for FD
YESB88748788,Walk-in,In Progress,2024-12-31 00:00:00,Wait for salary credit
YESB86552739,Referral,Converted,2024-06-23 00:00:00,Called for FD
YESB43824700,Walk-in,Converted,2024-07-19 00:00:00,KYC Pending
YESB11736742,Walk-in,Converted,2024-04-05 00:00:00,Called for FD
YESB96004607,Walk-in,In Progress,2024-03-23 00:00:00,Wait for salary credit
YESB84568441,Referral,Converted,2024-10-19 00:00:00,Called for FD
YESB35325178,Walk-in,In Progress,2024-06-23 00:00:00,Wait for salary credit
YESB29959702,Referral,Converted,2024-10-20 00:00:00,KYC Pending
YESB43835776,Digital Campaign,Lost,2024-03-18 00:00:00,Wait for salary credit
YESB34971353,Referral,Converted,2024-09-18 00:00:00,Interested in HL
YESB80327096,Referral,Lost,2024-04-30 00:00:00,KYC Pending
YESB61019902,Digital Campaign,In Progress,2024-06-25 00:00:00,Called for FD
YESB86817909,Referral,Converted,2024-08-03 00:00:00,Wait for salary credit
YESB69361843,Referral,In Progress,2024-11-05 00:00:00,Called for FD
YESB43262072,Digital Campaign,Lost,2024-01-03 00:00:00,KYC Pending
YESB43560975,Digital Campaign,In Progress,2024-01-16 00:00:00,Wait for salary credit
YESB32172183,Digital Campaign,Lost,2024-05-18 00:00:00,Called for FD
YESB67450711,Referral,Lost,2024-10-09 00:00:00,Wait for salary credit
YESB92226217,Walk-in,Converted,2024-04-12 00:00:00,Interested in HL
YESB57178742,Walk-in,Converted,2024-04-16 00:00:00,KYC Pending
YESB47547889,Digital Campaign,Lost,2024-01-31 00:00:00,KYC Pending
YESB77637734,Walk-in,Converted,2024-08-13 00:00:00,KYC Pending
YESB96783808,Digital Campaign,Converted,2024-03-18 00:00:00,Called for FD
YESB17676062,Walk-in,Converted,2024-11-16 00:00:00,Interested in HL
YESB98176104,Walk-in,Lost,2024-01-09 00:00:00,Wait for salary credit
YESB66401022,Digital Campaign,In Progress,2024-06-17 00:00:00,KYC Pending
YESB62076987,Walk-in,Lost,2024-03-01 00:00:00,Called for FD
YESB72206117,Digital Campaign,In Progress,2024-02-03 00:00:00,Wait for salary credit
YESB45193141,Walk-in,In Progress,2024-10-16 00:00:00,Wait for salary credit
YESB96710766,Digital Campaign,Lost,2024-09-01 00:00:00,Wait for salary credit
YESB75695788,Digital Campaign,Converted,2024-11-25 00:00:00,Called for FD
YESB39725496,Walk-in,Lost,2024-05-12 00:00:00,KYC Pending
YESB66157943,Digital Campaign,Lost,2024-05-26 00:00:00,Called for FD
YESB73802557,Digital Campaign,Lost,2024-04-14 00:00:00,KYC Pending
YESB42587039,Walk-in,Lost,2024-10-20 00:00:00,Interested in HL
YESB97088770,Walk-in,In Progress,2024-03-31 00:00:00,Called for FD
YESB30171990,Referral,In Progress,2024-08-03 00:00:00,Wait for salary credit
YESB85803836,Walk-in,Lost,2024-01-03 00:00:00,Interested in HL
YESB32179972,Digital Campaign,Lost,2024-05-30 00:00:00,Interested in HL
YESB76762269,Digital Campaign,Converted,2024-09-18 00:00:00,Called for FD
YESB22365916,Referral,Lost,2024-06-10 00:00:00,Called for FD
YESB91675408,Walk-in,Converted,2024-04-27 00:00:00,Called for FD
YESB20739979,Referral,Lost,2024-09-29 00:00:00,Called for FD
YESB62837972,Walk-in,Converted,2024-11-22 00:00:00,Interested in HL
YESB98687629,Walk-in,In Progress,2024-09-15 00:00:00,Wait for salary credit
YESB63862414,Walk-in,Converted,2024-04-09 00:00:00,Wait for salary credit
YESB68381021,Referral,Converted,2024-05-20 00:00:00,KYC Pending
YESB95935556,Referral,Lost,2024-02-14 00:00:00,Interested in HL
YESB73049001,Digital Campaign,In Progress,2024-11-22 00:00:00,Called for FD
YESB71592388,Referral,Lost,2024-03-30 00:00:00,Called for FD
YESB49273198,Walk-in,Lost,2024-01-14 00:00:00,Interested in HL
YESB31297386,Walk-in,Converted,2024-10-21 00:00:00,Called for FD
YESB37412557,Referral,Lost,2024-01-22 00:00:00,Wait for salary credit
YESB45533237,Referral,Lost,2024-03-16 00:00:00,Interested in HL
YESB80079689,Digital Campaign,Converted,2024-01-09 00:00:00,KYC Pending
YESB73858789,Digital Campaign,Converted,2024-05-28 00:00:00,Wait for salary credit
YESB52811181,Referral,In Progress,2024-12-08 00:00:00,KYC Pending
YESB41628597,Referral,Lost,2024-01-15 00:00:00,KYC Pending
YESB92387676,Walk-in,In Progress,2024-06-20 00:00:00,Interested in HL
YESB94168626,Walk-in,Lost,2024-06-05 00:00:00,Called for FD
YESB19178168,Walk-in,Converted,2024-12-03 00:00:00,KYC Pending
YESB49301868,Walk-in,Converted,2024-11-18 00:00:00,KYC Pending
YESB88966308,Digital Campaign,Lost,2024-06-25 00:00:00,KYC Pending
YESB91169991,Digital Campaign,Lost,2024-11-14 00:00:00,KYC Pending
YESB15510213,Walk-in,Lost,2024-08-27 00:00:00,Interested in HL
YESB59888742,Referral,Converted,2024-10-17 00:00:00,KYC Pending
YESB26520273,Referral,Converted,2024-12-11 00:00:00,Wait for salary credit
YESB13512715,Referral,Lost,2024-04-23 00:00:00,Wait for salary credit
YESB39520030,Walk-in,Converted,2024-01-11 00:00:00,Wait for salary credit
YESB85283459,Walk-in,In Progress,2024-10-08 00:00:00,Called for FD
YESB81480518,Digital Campaign,In Progress,2024-03-10 00:00:00,Wait for salary credit
YESB23867303,Walk-in,Lost,2024-06-12 00:00:00,Called for FD
